x y time dx dy dt dr^2 TotalDisplacementSquared
119 112 1.146 0 0 0.163 0 0
119 112 1.31 0 0 0.164 0 0
119 112 1.474 0 0 0.164 0 0
119 112 1.638 0 0 0.164 0 0
119 112 1.802 0 0 0.164 0 0
119 112 1.965 0 0 0.163 0 0
119 112 2.129 0 0 0.164 0 0
119 112 2.293 0 0 0.164 0 0
119 112 2.457 0 0 0.164 0 0
119 112 2.62 0 0 0.163 0 0
119 112 2.784 0 0 0.164 0 0
119 112 2.948 0 0 0.164 0 0
119 112 3.112 0 0 0.164 0 0
118 114 3.276 -1 2 0.164 5 5
15
103 15 0 0 0 0 0 0
103 15 0.164 0 0 0.164 0 0
103.318181818182 14.3340909090909 0.327 0.318181818181813 -0.665909090909091 0.163 0.544674586776856 0.544674586776856
103.338983050847 14.3268765133172 0.491 0.0208012326656473 -0.00721439577371719 0.164 0.000484738786790219 0.568004737085873
104 14 0.655 0.66101694915254 -0.326876513317192 0.164 0.543791662025336 2
104 14 0.819 0 0 0.164 0 2
104 14 0.983 0 0 0.164 0 2
105 12 1.474 1 -2 0.491 5 13
105 12 1.638 0 0 0.164 0 13
105 12 1.801 0 0 0.163 0 13
104 14 1.965 -1 2 0.164 5 2
104 14 2.129 0 0 0.164 0 2
104 14 2.293 0 0 0.164 0 2
104 14 2.457 0 0 0.164 0 2
105 12 2.62 1 -2 0.163 5 13
19
108 15 0 0 0 0 0 0
108 15 0.164 0 0 0.164 0 0
106 15 0.491 -2 0 0.327 4 4
106 15 0.655 0 0 0.164 0 4
106 15 0.819 0 0 0.164 0 4
106 15 0.983 0 0 0.164 0 4
106 15 1.146 0 0 0.163 0 4
106 15 1.31 0 0 0.164 0 4
107 16 1.474 1 1 0.164 2 2
107 16 1.638 0 0 0.164 0 2
106 15 1.802 -1 -1 0.164 2 4
107 12 2.129 1 -3 0.327 10 10
107 12 2.457 0 0 0.328 0 10
107 12 2.62 0 0 0.163 0 10
106 15 2.784 -1 3 0.164 10 4
106 15 2.948 0 0 0.164 0 4
106 15 3.112 0 0 0.164 0 4
106 15 3.276 0 0 0.164 0 4
107 12 3.439 1 -3 0.163 10 10
11
120 117 0 0 0 0 0 0
120 117 0.163 0 0 0.163 0 0
120 117 0.327 0 0 0.164 0 0
120 117 0.491 0 0 0.164 0 0
119.501901140684 117 0.655 -0.49809885931559 0 0.164 0.248102473651492 0.248102473651492
119.503787878788 117 0.818 0.00188673810346529 0 0.163 3.5597806710678E-06 0.246226469237836
119.5 117 0.982 -0.00378787878787534 0 0.164 1.4348025711636E-05 0.25
119.485401459854 117 1.146 -0.0145985401459825 0 0.164 0.000213117374393863 0.264811657520376
119.007425742574 117 1.31 -0.477975717279762 0 0.164 0.228460786309103 0.985203656504267
119 117 1.474 -0.00742574257425588 0 0.164 5.51416527791163E-05 1
118.955082742317 117 1.637 -0.0449172576832098 0 0.163 0.00201756003777987 1.0918520754042
18
9 106 0 0 0 0 0 0
9 106 0.492 0 0 0.492 0 0
9 106 0.655 0 0 0.163 0 0
9 106 0.819 0 0 0.164 0 0
9.48880597014925 106 0.983 0.488805970149254 0 0.164 0.238931276453554 0.238931276453554
9.50194552529183 106 1.147 0.0131395551425744 0 0.164 0.000172647909344752 0.25194931036049
10 106 1.311 0.498054474708171 0 0.164 0.248058259776832 1
9.5 106 1.474 -0.5 0 0.163 0.25 0.25
9.49818181818182 106 1.638 -0.00181818181818194 0 0.164 3.30578512396739E-06 0.248185123966942
9.5 106 1.802 0.00181818181818194 0 0.164 3.30578512396739E-06 0.25
9.4981684981685 106 1.966 -0.00183150183150183 0 0.164 3.35439895879454E-06 0.248171852567457
9.5 106 2.129 0.00183150183150183 0 0.163 3.35439895879454E-06 0.25
9.5 106 2.293 0 0 0.164 0 0.25
9.49446494464945 106 2.457 -0.00553505535055265 0 0.164 3.06368377336816E-05 0.244495581487181
9.48301886792453 106 2.621 -0.0114460767249192 0 0.164 0.000131012672392736 0.233307226771093
9 106 2.785 -0.483018867924528 0 0.164 0.233307226771093 0
9 106 2.948 0 0 0.163 0 0
